Time/sec, Current/A
2.130e+1, 2.050e-7
2.140e+1, 1.951e-7
2.150e+1, 1.909e-7
2.160e+1, 1.966e-7
2.170e+1, 2.047e-7
2.180e+1, 2.031e-7
2.190e+1, 1.946e-7
2.200e+1, 1.872e-7
2.210e+1, 1.920e-7
2.220e+1, 1.995e-7
2.230e+1, 2.018e-7
2.240e+1, 1.937e-7
2.250e+1, 1.861e-7
2.260e+1, 1.865e-7
2.270e+1, 1.949e-7
2.280e+1, 2.000e-7
2.290e+1, 1.937e-7
2.300e+1, 1.848e-7
2.310e+1, 1.839e-7
2.320e+1, 1.916e-7
2.330e+1, 1.985e-7
2.340e+1, 1.955e-7
2.350e+1, 1.860e-7
2.360e+1, 1.829e-7
2.370e+1, 1.889e-7
2.380e+1, 1.976e-7
2.390e+1, 1.963e-7
2.400e+1, 1.874e-7
2.410e+1, 1.820e-7
2.420e+1, 1.848e-7
2.430e+1, 1.937e-7
2.440e+1, 1.977e-7
2.450e+1, 1.899e-7
2.460e+1, 1.821e-7
2.470e+1, 1.845e-7
2.480e+1, 1.923e-7
2.490e+1, 1.985e-7
2.500e+1, 1.935e-7
2.510e+1, 1.841e-7
2.520e+1, 1.829e-7
2.530e+1, 1.899e-7
2.540e+1, 1.970e-7
2.550e+1, 1.945e-7
2.560e+1, 1.856e-7
2.570e+1, 1.806e-7
2.580e+1, 1.870e-7
2.590e+1, 1.953e-7
2.600e+1, 1.967e-7
2.610e+1, 1.879e-7
2.620e+1, 1.809e-7
2.630e+1, 1.850e-7
2.640e+1, 1.930e-7
2.650e+1, 1.962e-7
2.660e+1, 1.903e-7
2.670e+1, 1.815e-7
2.680e+1, 1.811e-7
2.690e+1, 1.895e-7
2.700e+1, 1.949e-7
2.710e+1, 1.915e-7
2.720e+1, 1.821e-7
2.730e+1, 1.795e-7
2.740e+1, 1.847e-7
2.750e+1, 1.902e-7
2.760e+1, 1.857e-7
2.770e+1, 1.751e-7
2.780e+1, 1.681e-7
2.790e+1, 1.732e-7
2.800e+1, 1.745e-7
2.810e+1, 1.774e-7
2.820e+1, 1.770e-7
2.830e+1, 1.627e-7
2.840e+1, 1.717e-7
2.850e+1, 1.665e-7
2.860e+1, 1.719e-7
2.870e+1, 1.673e-7
2.880e+1, 1.589e-7
2.890e+1, 1.574e-7
2.900e+1, 1.649e-7
2.910e+1, 1.729e-7
2.920e+1, 1.689e-7
2.930e+1, 1.602e-7
2.940e+1, 1.563e-7
2.950e+1, 1.615e-7
2.960e+1, 1.708e-7
2.970e+1, 1.701e-7
2.980e+1, 1.620e-7
2.990e+1, 1.549e-7
3.000e+1, 1.586e-7
3.010e+1, 1.674e-7
3.020e+1, 1.698e-7
3.030e+1, 1.632e-7
3.040e+1, 1.547e-7
3.050e+1, 1.558e-7
3.060e+1, 1.630e-7
3.070e+1, 1.691e-7
3.080e+1, 1.649e-7
3.090e+1, 1.562e-7
3.100e+1, 1.531e-7
3.110e+1, 1.589e-7
3.120e+1, 1.675e-7
3.130e+1, 1.664e-7
3.140e+1, 1.575e-7
3.150e+1, 1.514e-7
3.160e+1, 1.549e-7
3.170e+1, 1.640e-7
3.180e+1, 1.662e-7
3.190e+1, 1.600e-7
3.200e+1, 1.503e-7
3.210e+1, 1.480e-7
3.220e+1, 1.569e-7
3.230e+1, 1.625e-7
3.240e+1, 1.590e-7
3.250e+1, 1.510e-7
3.260e+1, 1.481e-7
3.270e+1, 1.531e-7
3.280e+1, 1.612e-7
3.290e+1, 1.619e-7
3.300e+1, 1.536e-7
3.310e+1, 1.469e-7
3.320e+1, 1.489e-7
3.330e+1, 1.580e-7
3.340e+1, 1.611e-7
3.350e+1, 1.554e-7
3.360e+1, 1.472e-7
3.370e+1, 1.451e-7
3.380e+1, 1.523e-7
3.390e+1, 1.599e-7
3.400e+1, 1.576e-7
3.410e+1, 1.496e-7
3.420e+1, 1.438e-7
3.430e+1, 1.473e-7
3.440e+1, 1.560e-7
3.450e+1, 1.590e-7
3.460e+1, 1.517e-7
3.470e+1, 1.451e-7
3.480e+1, 1.427e-7
3.490e+1, 1.515e-7
3.500e+1, 1.575e-7
3.510e+1, 1.544e-7
3.520e+1, 1.464e-7
3.530e+1, 1.414e-7
3.540e+1, 1.464e-7
3.550e+1, 1.548e-7
3.560e+1, 1.560e-7
3.570e+1, 1.479e-7
3.580e+1, 1.403e-7
3.590e+1, 1.421e-7
3.600e+1, 1.513e-7
3.610e+1, 1.549e-7
3.620e+1, 1.506e-7
3.630e+1, 1.416e-7
3.640e+1, 1.388e-7
3.650e+1, 1.471e-7
3.660e+1, 1.537e-7
3.670e+1, 1.520e-7
3.680e+1, 1.430e-7
3.690e+1, 1.378e-7
3.700e+1, 1.434e-7
3.710e+1, 1.522e-7
3.720e+1, 1.542e-7
3.730e+1, 1.462e-7
3.740e+1, 1.387e-7
3.750e+1, 1.410e-7
3.760e+1, 1.485e-7
3.770e+1, 1.536e-7
3.780e+1, 1.475e-7
3.790e+1, 1.396e-7
3.800e+1, 1.373e-7
3.810e+1, 1.449e-7
3.820e+1, 1.515e-7
3.830e+1, 1.483e-7
3.840e+1, 1.404e-7
3.850e+1, 1.352e-7
3.860e+1, 1.403e-7
3.870e+1, 1.493e-7
3.880e+1, 1.530e-7
3.890e+1, 1.453e-7
3.900e+1, 1.375e-7
3.910e+1, 1.382e-7
3.920e+1, 1.461e-7
3.930e+1, 1.519e-7
3.940e+1, 1.477e-7
3.950e+1, 1.387e-7
3.960e+1, 1.358e-7
3.970e+1, 1.414e-7
3.980e+1, 1.501e-7
3.990e+1, 1.498e-7
4.000e+1, 1.412e-7
4.010e+1, 1.350e-7
4.020e+1, 1.385e-7
4.030e+1, 1.459e-7
4.040e+1, 1.499e-7
4.050e+1, 1.453e-7
4.060e+1, 1.356e-7
4.070e+1, 1.347e-7
4.080e+1, 1.426e-7
4.090e+1, 1.488e-7
4.100e+1, 1.477e-7
4.110e+1, 1.379e-7
4.120e+1, 1.335e-7
4.130e+1, 1.388e-7
4.140e+1, 1.459e-7
4.150e+1, 1.487e-7
4.160e+1, 1.402e-7
4.170e+1, 1.335e-7
4.180e+1, 1.342e-7
4.190e+1, 1.439e-7
4.200e+1, 1.478e-7
4.210e+1, 1.436e-7
4.220e+1, 1.345e-7
4.230e+1, 1.325e-7
4.240e+1, 1.403e-7
4.250e+1, 1.472e-7
4.260e+1, 1.453e-7
4.270e+1, 1.356e-7
4.280e+1, 1.311e-7
4.290e+1, 1.376e-7
4.300e+1, 1.461e-7
4.310e+1, 1.458e-7
4.320e+1, 1.376e-7
4.330e+1, 1.314e-7
4.340e+1, 1.343e-7
4.350e+1, 1.431e-7
4.360e+1, 1.459e-7
4.370e+1, 1.376e-7
4.380e+1, 1.297e-7
4.390e+1, 1.302e-7
4.400e+1, 1.395e-7
4.410e+1, 1.444e-7
4.420e+1, 1.400e-7
4.430e+1, 1.314e-7
4.440e+1, 1.290e-7
4.450e+1, 1.359e-7
4.460e+1, 1.437e-7
4.470e+1, 1.414e-7
4.480e+1, 1.320e-7
4.490e+1, 1.282e-7
4.500e+1, 1.323e-7
4.510e+1, 1.403e-7
4.520e+1, 1.424e-7
4.530e+1, 1.346e-7
4.540e+1, 1.274e-7
4.550e+1, 1.296e-7
4.560e+1, 1.377e-7
4.570e+1, 1.432e-7
4.580e+1, 1.377e-7
4.590e+1, 1.275e-7
4.600e+1, 1.269e-7
4.610e+1, 1.336e-7
4.620e+1, 1.415e-7
4.630e+1, 1.397e-7
4.640e+1, 1.312e-7
4.650e+1, 1.257e-7
4.660e+1, 1.294e-7
4.670e+1, 1.382e-7
4.680e+1, 1.410e-7
4.690e+1, 1.343e-7
4.700e+1, 1.272e-7
4.710e+1, 1.272e-7
4.720e+1, 1.337e-7
4.730e+1, 1.412e-7
4.740e+1, 1.382e-7
4.750e+1, 1.290e-7
4.760e+1, 1.257e-7
4.770e+1, 1.314e-7
4.780e+1, 1.394e-7
4.790e+1, 1.403e-7
4.800e+1, 1.313e-7
4.810e+1, 1.290e-7
4.820e+1, 2.181e-7
4.830e+1, 1.541e-7
4.840e+1, 1.375e-7
4.850e+1, 1.312e-7
4.860e+1, 1.314e-7
4.870e+1, 1.395e-7
4.880e+1, 1.257e-7
4.890e+1, 1.214e-7
4.900e+1, 1.170e-7
4.910e+1, 1.548e-7
4.920e+1, 2.042e-7
4.930e+1, 2.497e-7
4.940e+1, 2.523e-7
4.950e+1, 2.401e-7
4.960e+1, 2.342e-7
4.970e+1, 2.300e-7
4.980e+1, 2.250e-7
4.990e+1, 1.777e-7
5.000e+1, 1.816e-7
5.010e+1, 1.814e-7
5.020e+1, 1.804e-7
5.030e+1, 1.879e-7
5.040e+1, 2.018e-7
5.050e+1, 2.114e-7
5.060e+1, 2.105e-7
5.070e+1, 2.089e-7
5.080e+1, 2.126e-7
5.090e+1, 2.256e-7
5.100e+1, 2.375e-7
5.110e+1, 2.375e-7
5.120e+1, 2.345e-7
5.130e+1, 2.354e-7
5.140e+1, 2.456e-7
5.150e+1, 2.605e-7
5.160e+1, 2.677e-7
5.170e+1, 3.004e-7
5.180e+1, 2.912e-7
5.190e+1, 3.173e-7
5.200e+1, 3.165e-7
5.210e+1, 2.949e-7
5.220e+1, 2.909e-7
5.230e+1, 2.846e-7
5.240e+1, 2.863e-7
5.250e+1, 2.961e-7
5.260e+1, 3.028e-7
5.270e+1, 2.988e-7
5.280e+1, 2.912e-7
5.290e+1, 2.899e-7
5.300e+1, 2.987e-7
5.310e+1, 3.070e-7
5.320e+1, 3.054e-7
5.330e+1, 2.983e-7
5.340e+1, 2.948e-7
5.350e+1, 2.998e-7
5.360e+1, 3.097e-7
5.370e+1, 3.125e-7
5.380e+1, 3.055e-7
5.390e+1, 2.990e-7
5.400e+1, 3.020e-7
5.410e+1, 3.104e-7
5.420e+1, 3.161e-7
5.430e+1, 3.116e-7
5.440e+1, 3.030e-7
5.450e+1, 3.020e-7
5.460e+1, 3.101e-7
5.470e+1, 3.183e-7
5.480e+1, 3.157e-7
5.490e+1, 3.073e-7
5.500e+1, 3.036e-7
5.510e+1, 3.098e-7
5.520e+1, 3.177e-7
5.530e+1, 3.184e-7
5.540e+1, 3.109e-7
5.550e+1, 3.046e-7
5.560e+1, 3.087e-7
5.570e+1, 3.163e-7
5.580e+1, 3.207e-7
5.590e+1, 3.153e-7
5.600e+1, 3.065e-7
5.610e+1, 3.073e-7
5.620e+1, 3.166e-7
5.630e+1, 3.220e-7
5.640e+1, 3.182e-7
5.650e+1, 3.096e-7
5.660e+1, 3.075e-7
5.670e+1, 3.154e-7
5.680e+1, 3.227e-7
5.690e+1, 3.210e-7
5.700e+1, 3.119e-7
5.710e+1, 3.077e-7
5.720e+1, 3.135e-7
5.730e+1, 3.223e-7
5.740e+1, 3.225e-7
5.750e+1, 3.142e-7
5.760e+1, 3.087e-7
5.770e+1, 3.122e-7
5.780e+1, 3.212e-7
5.790e+1, 3.243e-7
5.800e+1, 3.161e-7
5.810e+1, 3.095e-7
5.820e+1, 3.101e-7
5.830e+1, 3.193e-7
5.840e+1, 3.236e-7
5.850e+1, 3.174e-7
5.860e+1, 3.087e-7
5.870e+1, 3.083e-7
5.880e+1, 3.164e-7
5.890e+1, 3.230e-7
5.900e+1, 3.184e-7
5.910e+1, 3.113e-7
5.920e+1, 3.095e-7
5.930e+1, 3.179e-7
5.940e+1, 3.246e-7
5.950e+1, 3.208e-7
5.960e+1, 3.116e-7
5.970e+1, 3.086e-7
5.980e+1, 3.165e-7
5.990e+1, 3.233e-7
6.000e+1, 3.211e-7
6.010e+1, 3.119e-7
6.020e+1, 3.076e-7
6.030e+1, 3.150e-7
6.040e+1, 3.222e-7
6.050e+1, 3.200e-7
6.060e+1, 3.109e-7
6.070e+1, 3.062e-7
6.080e+1, 3.129e-7
6.090e+1, 3.208e-7
6.100e+1, 3.193e-7
6.110e+1, 3.106e-7
6.120e+1, 3.050e-7
6.130e+1, 3.110e-7
6.140e+1, 3.195e-7
6.150e+1, 3.181e-7
6.160e+1, 3.088e-7
6.170e+1, 3.035e-7
6.180e+1, 3.087e-7
6.190e+1, 3.171e-7
6.200e+1, 3.165e-7
6.210e+1, 3.070e-7
6.220e+1, 3.016e-7
6.230e+1, 3.071e-7
6.240e+1, 3.151e-7
6.250e+1, 3.155e-7
6.260e+1, 3.061e-7
6.270e+1, 3.002e-7
6.280e+1, 3.057e-7
6.290e+1, 3.138e-7
6.300e+1, 3.139e-7
6.310e+1, 3.054e-7
6.320e+1, 2.986e-7
6.330e+1, 3.033e-7
6.340e+1, 3.131e-7
6.350e+1, 3.128e-7
6.360e+1, 3.038e-7
6.370e+1, 2.981e-7
6.380e+1, 3.019e-7
6.390e+1, 3.105e-7
6.400e+1, 3.121e-7
6.410e+1, 3.023e-7
6.420e+1, 2.970e-7
6.430e+1, 3.013e-7
6.440e+1, 3.099e-7
6.450e+1, 3.111e-7
