Sept. 7, 2020   11:27:42
Amperometric i-t Curve
File: c:\users\asus\desktop\code\testData Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.2
Sample Interval (s) = 0.1
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 150.40s
ip = 6.189e-6A
Ap = 4.540e-5C

tp = 210.10s
ip = 4.571e-6A
Ap = 3.447e-5C

Time/sec, Current/A
1.980e+1, 6.467e-8
1.990e+1, 7.253e-8
2.000e+1, 6.486e-8
2.010e+1, 7.329e-8
2.020e+1, 6.467e-8
2.030e+1, 7.253e-8
2.040e+1, 6.486e-8
2.050e+1, 7.310e-8
2.060e+1, 6.524e-8
2.070e+1, 7.281e-8
2.080e+1, 6.495e-8
2.090e+1, 7.224e-8
2.100e+1, 6.599e-8
2.110e+1, 7.205e-8
2.120e+1, 6.760e-8
2.130e+1, 7.187e-8
2.140e+1, 6.789e-8
2.150e+1, 7.111e-8
2.160e+1, 6.751e-8
2.170e+1, 7.007e-8
2.180e+1, 6.969e-8
2.190e+1, 6.978e-8
2.200e+1, 7.073e-8
2.210e+1, 6.893e-8
2.220e+1, 7.063e-8
2.230e+1, 6.865e-8
2.240e+1, 7.111e-8
2.250e+1, 6.827e-8
2.260e+1, 7.395e-8
2.270e+1, 6.760e-8
2.280e+1, 7.480e-8
2.290e+1, 6.742e-8
2.300e+1, 7.546e-8
2.310e+1, 6.704e-8
2.320e+1, 7.489e-8
2.330e+1, 6.723e-8
2.340e+1, 7.489e-8
2.350e+1, 6.751e-8
2.360e+1, 7.499e-8
2.370e+1, 6.770e-8
2.380e+1, 7.130e-8
2.390e+1, 6.742e-8
2.400e+1, 7.423e-8
2.410e+1, 6.836e-8
2.420e+1, 7.442e-8
2.430e+1, 6.959e-8
2.440e+1, 7.376e-8
2.450e+1, 6.950e-8
2.460e+1, 7.347e-8
2.470e+1, 7.111e-8
2.480e+1, 7.300e-8
2.490e+1, 7.291e-8
2.500e+1, 6.760e-8
2.510e+1, 6.846e-8
2.520e+1, 6.836e-8
2.530e+1, 7.376e-8
2.540e+1, 7.016e-8
2.550e+1, 7.575e-8
2.560e+1, 6.921e-8
2.570e+1, 7.594e-8
2.580e+1, 6.931e-8
2.590e+1, 7.584e-8
2.600e+1, 6.969e-8
2.610e+1, 7.347e-8
2.620e+1, 6.902e-8
2.630e+1, 7.736e-8
2.640e+1, 6.893e-8
2.650e+1, 7.736e-8
2.660e+1, 6.855e-8
2.670e+1, 7.679e-8
2.680e+1, 6.902e-8
2.690e+1, 7.641e-8
2.700e+1, 6.846e-8
2.710e+1, 7.774e-8
2.720e+1, 6.931e-8
2.730e+1, 7.565e-8
2.740e+1, 6.997e-8
2.750e+1, 7.660e-8
2.760e+1, 7.026e-8
2.770e+1, 7.556e-8
2.780e+1, 7.044e-8
2.790e+1, 7.489e-8
2.800e+1, 7.120e-8
2.810e+1, 7.471e-8
2.820e+1, 7.205e-8
2.830e+1, 7.310e-8
2.840e+1, 7.272e-8
2.850e+1, 7.366e-8
2.860e+1, 7.300e-8
2.870e+1, 7.281e-8
2.880e+1, 7.291e-8
2.890e+1, 7.111e-8
2.900e+1, 7.319e-8
2.910e+1, 7.130e-8
2.920e+1, 7.433e-8
2.930e+1, 7.101e-8
2.940e+1, 7.452e-8
2.950e+1, 7.026e-8
2.960e+1, 7.480e-8
2.970e+1, 6.969e-8
2.980e+1, 7.508e-8
2.990e+1, 6.921e-8
3.000e+1, 9.251e-8
3.010e+1, 7.713e-6
3.020e+1, 4.428e-6
3.030e+1, 3.812e-6
3.040e+1, 3.543e-6
3.050e+1, 3.330e-6
3.060e+1, 3.202e-6
3.070e+1, 3.058e-6
3.080e+1, 3.001e-6
3.090e+1, 2.941e-6
3.100e+1, 2.855e-6
3.110e+1, 2.778e-6
3.120e+1, 2.765e-6
3.130e+1, 2.724e-6
3.140e+1, 2.648e-6
3.150e+1, 2.614e-6
3.160e+1, 2.604e-6
3.170e+1, 2.546e-6
3.180e+1, 2.545e-6
3.190e+1, 2.504e-6
3.200e+1, 2.492e-6
3.210e+1, 2.444e-6
3.220e+1, 2.454e-6
3.230e+1, 2.404e-6
3.240e+1, 2.415e-6
3.250e+1, 2.365e-6
3.260e+1, 2.398e-6
3.270e+1, 2.326e-6
3.280e+1, 2.360e-6
3.290e+1, 2.290e-6
3.300e+1, 2.318e-6
3.310e+1, 2.269e-6
3.320e+1, 2.287e-6
3.330e+1, 2.265e-6
3.340e+1, 2.249e-6
3.350e+1, 2.216e-6
3.360e+1, 2.250e-6
3.370e+1, 2.193e-6
3.380e+1, 2.201e-6
3.390e+1, 2.178e-6
3.400e+1, 2.176e-6
3.410e+1, 2.161e-6
3.420e+1, 2.156e-6
3.430e+1, 2.153e-6
3.440e+1, 2.136e-6
3.450e+1, 2.130e-6
3.460e+1, 2.116e-6
3.470e+1, 2.121e-6
3.480e+1, 2.093e-6
3.490e+1, 2.090e-6
3.500e+1, 2.084e-6
3.510e+1, 2.061e-6
3.520e+1, 2.073e-6
3.530e+1, 2.068e-6
3.540e+1, 2.036e-6
3.550e+1, 2.052e-6
3.560e+1, 2.022e-6
3.570e+1, 2.036e-6
3.580e+1, 2.030e-6
3.590e+1, 2.009e-6
3.600e+1, 2.013e-6
3.610e+1, 2.008e-6
3.620e+1, 1.979e-6
3.630e+1, 2.004e-6
3.640e+1, 1.972e-6
3.650e+1, 1.991e-6
3.660e+1, 1.946e-6
3.670e+1, 1.990e-6
3.680e+1, 1.952e-6
3.690e+1, 1.961e-6
3.700e+1, 1.946e-6
3.710e+1, 1.954e-6
3.720e+1, 1.929e-6
3.730e+1, 1.936e-6
3.740e+1, 1.916e-6
3.750e+1, 1.954e-6
3.760e+1, 1.907e-6
3.770e+1, 1.925e-6
3.780e+1, 1.914e-6
3.790e+1, 1.905e-6
3.800e+1, 1.892e-6
3.810e+1, 1.920e-6
3.820e+1, 1.891e-6
3.830e+1, 1.896e-6
3.840e+1, 1.888e-6
3.850e+1, 1.872e-6
3.860e+1, 1.886e-6
3.870e+1, 1.867e-6
3.880e+1, 1.875e-6
3.890e+1, 1.871e-6
3.900e+1, 1.865e-6
3.910e+1, 1.854e-6
3.920e+1, 1.856e-6
3.930e+1, 1.843e-6
3.940e+1, 1.833e-6
3.950e+1, 1.842e-6
3.960e+1, 1.824e-6
3.970e+1, 1.814e-6
3.980e+1, 1.840e-6
3.990e+1, 1.813e-6
4.000e+1, 1.834e-6
4.010e+1, 1.804e-6
4.020e+1, 1.821e-6
4.030e+1, 1.787e-6
4.040e+1, 1.812e-6
4.050e+1, 1.768e-6
4.060e+1, 1.807e-6
4.070e+1, 1.781e-6
4.080e+1, 1.794e-6
4.090e+1, 1.770e-6
4.100e+1, 1.795e-6
4.110e+1, 1.775e-6
4.120e+1, 1.779e-6
4.130e+1, 1.749e-6
4.140e+1, 1.783e-6
4.150e+1, 1.747e-6
4.160e+1, 1.757e-6
4.170e+1, 1.760e-6
4.180e+1, 1.754e-6
4.190e+1, 1.754e-6
4.200e+1, 1.743e-6
4.210e+1, 1.755e-6
4.220e+1, 1.746e-6
4.230e+1, 1.739e-6
